KCl,methanol,293.15 K,Not found,0.0708 mol kg−1
KCl,methanol,298.15 K,Not found,0.0736 mol kg−1
KCl,methanol,303.15 K,Not found,0.0754 mol kg−1
KCl,methanol,308.15 K,Not found,0.078 mol kg−1
KCl,methanol,313.15 K,Not found,0.0811 mol kg−1
KCl,methanol,318.15 K,Not found,0.0833 mol kg−1
KCl,methanol,323.15 K,Not found,0.0858 mol kg−1
KCl,methanol,328.15 K,Not found,0.0888 mol kg−1
KCl,methanol,333.15 K,Not found,0.0907 mol kg−1
KCL,ethanol,293.15 K,Not found,0.0069 mol kg−1
KCL,ethanol,298.15 K,Not found,0.0064 mol kg−1
KCL,ethanol,303.15 K,Not found,0.0061 mol kg−1
KCL,ethanol,308.15 K,Not found,0.0059 mol kg−1
KCL,ethanol,313.15 K,Not found,0.0054 mol kg−1
KCL,ethanol,318.15 K,Not found,0.0051 mol kg−1
KCL,ethanol,323.15 K,Not found,0.005 mol kg−1
KCL,ethanol,328.15 K,Not found,0.0046 mol kg−1
KCL,ethanol,333.15 K,Not found,0.0044 mol kg−1
LiCl,methanol,293.15 K,Not found,10.26 mol kg−1
LiCl,methanol,298.15 K,Not found,10.28 mol kg−1
LiCl,methanol,303.15 K,Not found,10.29 mol kg−1
LiCl,methanol,308.15 K,Not found,10.3 mol kg−1
LiCl,methanol,313.15 K,Not found,10.3 mol kg−1
LiCl,methanol,318.15 K,Not found,10.31 mol kg−1
LiCl,methanol,323.15 K,Not found,10.32 mol kg−1
LiCl,methanol,328.15 K,Not found,10.33 mol kg−1
LiCl,methanol,333.15 K,Not found,10.33 mol kg−1
LiCl,ethanol,293.15 K,Not found,5.901 mol kg−1
LiCl,ethanol,298.15 K,Not found,5.840 mol kg−1
LiCl,ethanol,303.15 K,Not found,5.800 mol kg−1
LiCl,ethanol,308.15 K,Not found,5.737 mol kg−1
LiCl,ethanol,313.15 K,Not found,5.707 mol kg−1
LiCl,ethanol,318.15 K,Not found,5.643 mol kg−1
LiCl,ethanol,323.15 K,Not found,5.628 mol kg−1
LiCl,ethanol,328.15 K,Not found,5.587 mol kg−1
LiCl,ethanol,333.15 K,Not found,5.556 mol kg−1
LiCl,acetone,293.15 K,Not found,0.2776 mol kg−1
LiCl,acetone,298.15 K,Not found,0.2556 mol kg−1
LiCl,acetone,303.15 K,Not found,0.2236 mol kg−1
LiCl,acetone,308.15 K,Not found,0.1931 mol kg−1
LiCl,acetone,313.15 K,Not found,0.1730 mol kg−1
LiCl,acetone,318.15 K,Not found,0.1509 mol kg−1
LiCl,acetone,323.15 K,Not found,0.1240 mol kg−1
LiCl,acetone,328.15 K,Not found,0.1037 mol kg−1
LiBr,methanol,293.15 K,Not found,16.39 mol kg−1
LiBr,methanol,298.15 K,Not found,16.44 mol kg−1
LiBr,methanol,303.15 K,Not found,16.47 mol kg−1
LiBr,methanol,308.15 K,Not found,16.53 mol kg−1
LiBr,methanol,313.15 K,Not found,16.60 mol kg−1
LiBr,methanol,318.15 K,Not found,16.67 mol kg−1
LiBr,methanol,323.15 K,Not found,16.76 mol kg−1
LiBr,methanol,328.15 K,Not found,16.83 mol kg−1
LiBr,methanol,333.15 K,Not found,16.90 mol kg−1
