solute_name,solvent_name,temperature,pressure,solubility
C60,water,298.2 K,1 atm,<0.04 ng/ml
C70,water,298.2 K,1 atm,<0.04 ng/ml
C60,water,298.2 K,1 atm,1.3 x 10-11 ng/ml
C70,water,298.2 K,1 atm,1.1 x 10-10 ng/ml
C60,methanol,298.2 K,1 atm,35 ng/ml
C70,methanol,298.2 K,1 atm,38 ng/ml
C60,ethanol,298.2 K,1 atm,800 ng/ml
C70,ethanol,298.2 K,1 atm,780 ng/ml
C60,1-propanol,298.2 K,1 atm,4100 ng/ml
C70,1-propanol,298.2 K,1 atm,3900 ng/ml
C60,1-butanol,298.2 K,1 atm,9400 ng/ml
C70,1-butanol,298.2 K,1 atm,8600 ng/ml
C60,1-pentanol,298.2 K,1 atm,30000 ng/ml
C70,1-pentanol,298.2 K,1 atm,2800 ng/ml
C60,1-hexanol,298.2 K,1 atm,42000 ng/ml
C70,1-hexanol,298.2 K,1 atm,35000 ng/ml
C60,1-octanol,298.2 K,1 atm,47000 ng/ml
C70,1-octanol,298.2 K,1 atm,46000 ng/ml
